Quarter,GDP,DJIA
4/1/13,16699.551,15116
7/1/13,16911.068,14810
10/1/13,17133.114,16086
1/1/14,17144.281,15699
4/1/14,17462.703,16717
7/1/14,17743.227,17098
10/1/14,17852.54,17828
1/1/15,17991.348,17165
4/1/15,18193.707,18011
7/1/15,18306.96,16528
10/1/15,18332.079,17720
1/1/16,18425.306,16466
4/1/16,18611.617,17787
7/1/16,18775.459,18401
10/1/16,18968.041,19124
1/1/17,19148.194,19864
4/1/17,19304.506,21009
7/1/17,19561.896,21948
10/1/17,19894.75,24272
1/1/18,20155.486,26149
4/1/18,20470.197,24416
7/1/18,20687.278,25965
10/1/18,20819.269,25538
1/1/19,21013.085,25000
4/1/19,21272.448,24815
7/1/19,21531.839,26403
10/1/19,21706.532,28051
1/1/20,21538.032,28256
4/1/20,19636.731,21227
7/1/20,21362.428,25879
10/1/20,21704.706,27941
1/1/21,22313.85,30627
4/1/21,23046.934,33055
7/1/21,23550.42,34507
10/1/21,24349.121,33931
1/1/22,24740.48,36322
4/1/22,25248.476,34741
7/1/22,25723.941,30738
10/1/22,26132.458,28855
1/1/23,26408.4,34086
4/1/23,27813.6,34098
7/1/23,27063,35560
10/1/23,27967.7,33053
1/1/24,28297,38150
4/1/24,28624.1,37816
7/1/24,29016.7,40843
10/1/24,29374.9,41763
