acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.478,['Kelsea Ballerini'],0.462,167796,0.512,0,1ytCra0qH6gcHnCVQwREvu,0,9,0.0993,-5.443,1,homecoming queen?,65,2020-03-20,0.0334,114.014,0.29,2020
3.6e-4,['Agust D'],0.478,219809,0.574,1,5Ncjypx5upZS5ZZTaqUzIf,0.00719,1,0.157,-8.886000000000003,1,Honsool,72,2020-05-22,0.0606,71.984,0.187,2020
0.301,['Kenny Chesney'],0.715,168733,0.665,0,2v08cjj3Th8RpfJgluECcj,0,6,0.123,-5.4860000000000015,1,Happy Does,64,2020-05-01,0.0381,109.019,0.593,2020
0.468,['Lauv'],0.527,203507,0.5379999999999999,0,1DVWkJEjgVStgU2EbR9vpz,0,5,0.0825,-7.434,1,Sad Forever,71,2020-03-06,0.104,117.319,0.389,2020
0.183,['Juanfran'],0.8270000000000001,187500,0.629,0,52zq2a71SGs3f1vJuv59ui,0,6,0.084,-3.966,0,Como Llora,81,2020-02-07,0.185,88.064,0.486,2020
0.0567,['Trey Songz'],0.546,204941,0.608,1,2jLDRXGpa9yJ9fuhySSV8P,0,1,0.0664,-6.261,1,2020 Riots: How Many Times,59,2020-06-05,0.209,98.036,0.37,2020
0.762,['girl in red'],0.415,194204,0.472,0,1P7tiVl5hgemZuH8oNyP6C,0.0741,2,0.111,-11.203,0,midnight love,70,2020-04-14,0.0889,120.31,0.34,2020
0.618,"['Melanie Martinez', 'Tierra Whack']",0.7140000000000001,232691,0.454,0,4AhAT2GxKdNYWc5bmdoAES,0,0,0.0586,-8.899,0,Copy Cat (feat. Tierra Whack),69,2020-02-10,0.166,175.537,0.81,2020
0.0151,['The 1975'],0.639,319371,0.63,0,1n4vgMWmmNlXrvyxQFhUEl,0.0374,2,0.0959,-6.1,1,If You’re Too Shy (Let Me Know),70,2020-04-23,0.0325,125.648,0.218,2020
0.373,['Aminé'],0.467,133995,0.879,1,7iG6aXHLFg9tBzP6OIyuJa,0,5,0.274,-4.372,0,Shimmy,67,2020-02-26,0.483,172.783,0.795,2020
0.0294,"['Rich The Kid', 'YoungBoy Never Broke Again']",0.8009999999999999,175413,0.635,1,6LPyrK9k9oJquPBaH2I2Hu,0,10,0.145,-6.324,0,Money Talk (feat. YoungBoy Never Broke Again),65,2020-04-01,0.243,154.997,0.63,2020
0.17800000000000002,"['Sam Feldt', 'Ella Henderson']",0.654,185750,0.795,0,24aN8j7dBw0FxxKUBlCtd6,0,0,0.19,-4.419,1,Hold Me Close (feat. Ella Henderson),76,2020-03-27,0.0536,120.019,0.465,2020
0.7340000000000001,['Gracie Abrams'],0.617,167538,0.451,0,1tF7RL54zjHSy0N2qEQLDY,1.56e-6,7,0.128,-6.096,1,"I miss you, I’m sorry",72,2020-04-08,0.0481,109.757,0.161,2020
0.5760000000000001,"['Josh Richards', 'Bryce Hall']",0.925,161935,0.222,1,2twKCCzVkqTr7MKEbv3tcj,0,11,0.116,-15.385,0,Still Softish,70,2020-03-20,0.421,124.882,0.633,2020
0.8320000000000001,"['Westside Gunn', 'Joey Bada$$', 'Tyler, The Creator', 'Billie Essco']",0.42,349040,0.701,1,5MvCurNMpM3WCCSs40cd37,0,1,0.103,-7.582000000000002,0,327,67,2020-04-17,0.339,79.71600000000002,0.6709999999999999,2020
0.0564,['Niall Horan'],0.723,176283,0.726,0,2sGF7DBXvL2GjkbG606m1G,1.26e-4,1,0.057,-3.835,0,No Judgement,72,2020-03-13,0.0472,100.051,0.962,2020
0.0519,['Fivio Foreign'],0.5379999999999999,235009,0.6779999999999999,1,2n5tZGBgPZ4qeQH7UcTJgN,0,2,0.119,-5.6110000000000015,1,Wetty,67,2020-03-27,0.381,70.444,0.524,2020
0.337,"['Freddie Gibbs', 'The Alchemist']",0.528,152547,0.595,1,1p1b9LdLJ0REuFJX9mYtFX,0,0,0.389,-10.35,0,1985,66,2020-05-29,0.281,130.39600000000002,0.36,2020
0.253,"['Kygo', 'Avicii', 'Sandro Cavazza']",0.529,193847,0.612,0,3o1CUVeHIid49sabk6A6Nf,0,10,0.246,-8.794,1,Forever Yours - Avicii Tribute,77,2020-01-24,0.052,119.272,0.434,2020
0.313,"['Alina Baraz', 'Khalid']",0.679,200303,0.5329999999999999,1,3U62bHMhP7bKAFYMkn3fNx,0.0336,10,0.171,-8.454,1,Off the Grid (feat. Khalid),67,2020-04-24,0.0766,83.50200000000002,0.521,2020
0.191,['The Strokes'],0.537,222093,0.68,0,2t0wwvR15fc3K1ey8OiOaN,0.00175,4,0.0889,-4.297,1,Selfless,71,2020-04-10,0.0333,121.989,0.0889,2020
0.306,['Joyner Lucas'],0.8440000000000001,269084,0.574,1,69fnnbeoZO9h16CUZGIbTG,0,4,0.11,-4.886,0,Revenge,67,2020-03-27,0.382,158.047,0.476,2020
0.665,"['Rich The Kid', 'Quavo']",0.906,153067,0.632,1,1Su3XqfcHVhDyeqXKBgGHe,0,10,0.084,-4.174,0,That's Tuff (feat. Quavo),67,2020-04-01,0.198,138.009,0.339,2020
0.0106,['Tame Impala'],0.622,218200,0.784,1,3Naa5mKj5pbrNGyHsE04zo,0.0089,1,0.104,-3.83,0,The Less I Know The Better,0,2020-06-12,0.0292,116.892,0.78,2020
0.0879,['Audrey Mika'],0.868,168983,0.6559999999999999,0,1NzRZ7AosK7ZDumMsZYofo,0.00316,7,0.14,-6.579,1,Just Friends,70,2020-05-08,0.0351,114.991,0.7929999999999999,2020
