county,population,thefts_2022,thefts_2023
Allegany County,67762,37,35
Anne Arundel County,590936,766,1080
Baltimore City,577193,3128,7138
Baltimore County,849586,1080,2427
Calvert County,93791,38,50
Caroline County,33406,30,30
Carroll County,174318,47,71
Cecil County,104366,123,150
Charles County,168710,153,276
Dorchester County,32612,51,92
Frederick County,280341,97,176
Garrett County,28713,6,7
Harford County,262509,118,192
Howard County,333916,398,697
Kent County,19265,4,11
Montgomery County,1057586,1247,2317
Prince George's County,955584,4246,8546
Queen Anne's County,50951,23,15
Somerset County,114372,15,25
St. Mary's County,24685,45,105
Talbot County,37707,13,24
Washington County,155033,172,262
Wicomico County,104117,70,106
Worcester County,53279,42,39
