Establishment ID,Name,Address,City,Inspection Date,Inspection Type,critical_points,non_critical_points,total_points,max_total_points,compliance_score,letter_grade
2300,SOUTH LAKE ELEMENTARY,18201 CONTOUR RD.,GAITHERSBURG,2023-08-23,Environmental,110,25,135,135,100,A
38380,HISSHO SUSHI @ GIANT #0354,1280 EAST WEST HWY,SILVER SPRING,2023-07-24,Comprehensive,110,20,130,130,100,A
649,SILVER SPRING COURTYARD BY MARRIOTT,12521 PROSPERITY DR.,SILVER SPRING,2023-07-25,Comprehensive,110,20,130,130,100,A
29587,ADARASH MARKET,11249 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-24,Monitoring,110,20,130,130,100,A
33469,BRIGHTVIEW GROSVENOR,5510 GROSVENOR LANE,BETHESDA,2023-07-25,Monitoring,110,20,130,130,100,A
37143,CURRY PLACE,11229 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-24,Monitoring,110,20,130,130,100,A
51437,JOLLOFF ETCETERA,11237 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-24,Monitoring,110,20,130,130,100,A
38500,AMERICA'S BEST WINGS,11245 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-24,Monitoring,110,20,130,130,100,A
20128,STARBUCKS @ GIANT FOOD #354,1280 EAST-WEST HWY,SILVER SPRING,2023-07-24,Comprehensive,110,20,130,130,100,A
18050,MOTI'S MARKET,4860 BOILING BROOK PKWY.,ROCKVILLE,2023-07-25,Monitoring w/Complaint Investigation,110,20,130,130,100,A
55037,BOURBON STREET CAFE,11160 VEIRS MILL RD,SILVER SPRING,2024-06-24,Food Complaint,110,25,135,135,100,A
43416,HISSHO SUSHI @ GIANT #0320,229 KENTLANDS BLVD,GAITHERSBURG,2024-03-12,Monitoring,110,20,130,130,100,A
33195,FREDDY'S PIZZA,102 N. SUMMIT AVE,GAITHERSBURG,2024-03-14,Comprehensive,110,20,130,130,100,A
1624,MANOR CARE HEALTH SERVICES WHEATON,11901 GEORGIA AVE.,WHEATON,2023-07-26,Food Complaint,110,20,130,130,100,A
24035,RIVER FALLS SWIM AND TENNIS/RIVER FALLS COMMUNITY,7915 HORSESHOE LN,POTOMAC,2023-07-25,Comprehensive,110,20,130,130,100,A
2290,SMOKEY GLEN FARM,16407 RIFFLEFORD RD.,GAITHERSBURG,2023-07-21,Visit/No Action,110,20,130,130,100,A
37079,AVENEL COMMUNITY ASSOCIATION,10001 OAKLYN DR.,POTOMAC,2023-07-25,Comprehensive,110,20,130,130,100,A
36810,7-ELEVEN #38133A,6900 NEW HAMPSHIRE AVE,TAKOMA PARK,2023-07-26,Comprehensive,110,20,130,130,100,A
51539,SUKI HANA,11160 VEIRS MILL RD,SILVER SPRING,2023-07-27,Monitoring,110,20,130,130,100,A
45672,POPEYES,8401 GEORGIA AVE,SILVER SPRING,2023-07-26,Monitoring,110,20,130,130,100,A
2050,RAPHAEL HOUSE,1515 DUNSTER RD.,ROCKVILLE,2024-03-13,Comprehensive,110,20,130,130,100,A
28281,EL ENCANTO RESTAURANT,8035 SNOUFFER SCHOOL RD,GAITHERSBURG,2023-01-27,Reinspection,110,20,130,130,100,A
29179,NANDO'S PERI PERI,11160 VEIRS MILL RD,SILVER SPRING,2024-01-08,Monitoring,110,20,130,130,100,A
23855,LESAAC CAFE,8200 FENTON ST,SILVER SPRING,2024-01-10,Monitoring,110,20,130,130,100,A
53977,VALLE DE SULA RESTAURANT,11225 NEW HAMPSHIRE AVE,SILVER SPRING,2024-01-05,Monitoring,110,20,130,130,100,A
38423,PIZZA STOP,2231 BEL PRE RD,SILVER SPRING,2023-12-20,Monitoring,110,25,135,135,100,A
50280,NAZRAWI ETHIOPIAN RESTAURANT,952 SLIGO AVE,SILVER SPRING,2024-01-10,Monitoring,110,20,130,130,100,A
21326,JEWEL OF INDIA,10151 NEW HAMPSHIRE AVE.,SILVER SPRING,2023-09-13,Monitoring,110,20,130,130,100,A
47000,KIELBASA FACTORY,1073 ROCKVILLE PIKE,ROCKVILLE,2023-07-27,Comprehensive,110,20,130,130,100,A
20257,DUNKIN DONUTS #347108,13424 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-26,Environmental,110,20,130,130,100,A
52622,XIAN GOURMET,316 N WASHINGTON ST,ROCKVILLE,2023-01-31,Change of Ownership - Environmental,110,20,130,130,100,A
2487,TEMARI CAFE,1043 ROCKVILLE PK.,ROCKVILLE,2023-07-27,Monitoring,110,20,130,130,100,A
11479,CHIPOTLE MEXICAN GRILL #0103,564 N. FREDERICK AVE.,GAITHERSBURG,2023-07-27,Food Complaint,110,20,130,130,100,A
53783,BANGALEER BUTTER CHICKEN HOUSE (BBC),7101 DEMOCRACY BLVD,BETHESDA,2023-07-27,Change of Ownership - Environmental,110,20,130,130,100,A
41295,WENDY'S #6565,14012 CONNECTICUT AVENUE,SILVER SPRING,2023-08-01,Re-inspection Billable,110,20,130,130,100,A
24095,SWEET FROG,"100 LEXINGTON DR,",SILVER SPRING,2023-03-22,Monitoring,110,20,130,130,100,A
41295,WENDY'S #6565,14012 CONNECTICUT AVENUE,SILVER SPRING,2023-07-31,Change of Ownership - Environmental,110,20,130,130,100,A
1163,LATIN INC,10206 NEW HAMPSHIRE AVE.,SILVER SPRING,2023-09-12,Comprehensive,110,20,130,130,100,A
24095,SWEET FROG,"100 LEXINGTON DR,",SILVER SPRING,2023-08-22,Food Complaint,110,20,130,130,100,A
22470,CHIPOTLE MEXICAN GRILL #1608,10135 COLESVILLE RD.,SILVER SPRING,2023-09-13,Monitoring,110,20,130,130,100,A
17651,DANA BAZAAR,12215 NEBEL ST.,ROCKVILLE,2023-09-13,Reinspection,110,20,130,130,100,A
52622,XIAN GOURMET,316 N WASHINGTON ST,ROCKVILLE,2023-02-06,HACCP (Renewed every 5 yrs),110,25,135,135,100,A
39971,SARAH'S HANDMADE ICE CREAM,10219 OLD GEORGETOWN RD,BETHESDA,2023-07-28,Comprehensive,110,20,130,130,100,A
39531,LUCY'S KITCHEN,8301 GEORGIA AVENUE,SILVER SPRING,2023-01-17,Reinspection,110,20,130,130,100,A
20782,FORCEY BIBLE CHURCH,2130 E. RANDOLPH RD.,SILVER SPRING,2023-09-13,Monitoring,110,20,130,130,100,A
39531,LUCY'S KITCHEN,8301 GEORGIA AVENUE,SILVER SPRING,2023-06-21,Food Complaint,110,20,130,130,100,A
24095,SWEET FROG,"100 LEXINGTON DR,",SILVER SPRING,2022-11-02,Monitoring,110,20,130,130,100,A
17118,WASABIZEN JAPANESE CUISINE,18066 GEORGIA AVE.,OLNEY,2023-07-25,Comprehensive,110,20,130,130,100,A
26874,GW SUPERMARKET OF GERMANTOWN INC,19721 FREDERICK RD,GERMANTOWN,2023-07-28,Food Complaint,110,20,130,130,100,A
44496,POPEYES,3410 OLNEY-LAYTONSVILLE RD.,OLNEY,2023-07-25,Comprehensive,110,20,130,130,100,A
33435,DAVE & BUSTER'S,9811 WASHINGTONIAN BLVD,GAITHERSBURG,2023-07-31,Comprehensive,110,20,130,130,100,A
28103,CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,POTOMAC,2023-07-27,NA,110,20,130,130,100,A
28328,CAMP SONSHINE INTERNATIONAL,16819 NEW HAMPSHIRE AVE,SILVER SPRING,2023-07-27,Environmental,110,20,130,130,100,A
28103,CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,POTOMAC,2023-07-27,Monitoring w/Complaint Investigation,110,20,130,130,100,A
41240,MONTGOMERY COLLEGE-METZ CULINARY MANAGEMENT,7625 FENTON STREET,TAKOMA PARK,2023-07-27,Monitoring,110,20,130,130,100,A
46942,LITTLE BITES CATERING,310 TULIP AVE,TAKOMA PARK,2023-07-26,Monitoring,110,20,130,130,100,A
11243,MCDONALD'S OF ASPEN HILL,13701 CONNECTICUT AVE.,WHEATON,2023-07-27,Food Complaint,110,20,130,130,100,A
28281,EL ENCANTO RESTAURANT,8035 SNOUFFER SCHOOL RD,GAITHERSBURG,2023-11-16,Reinspection,110,20,130,130,100,A
