UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD17,NEG_M17,RAPE17,FONDL17,INCES17,STATR17,ROBBE17,AGG_A17,BURGLA17,VEHIC17,ARSON17,MURD18,NEG_M18,RAPE18,FONDL18,INCES18,STATR18,ROBBE18,AGG_A18,BURGLA18,VEHIC18,ARSON18,MURD19,NEG_M19,RAPE19,FONDL19,INCES19,STATR19,ROBBE19,AGG_A19,BURGLA19,VEHIC19,ARSON19,FILTER17,FILTER18,FILTER19
145637001,University of Illinois at Urbana-Champaign,Main Campus,601 E John Street,Champaign,IL,61820,1,"Public, 4-year or above",27884,23721,51605,0,0,35,14,0,0,2,7,18,4,3,0,0,30,17,0,0,2,3,9,2,3,0,0,19,9,0,2,2,6,16,2,5,1,1,1
145637003,University of Illinois at Urbana-Champaign,Illini Center,200 S. Wacker Dr.,Chicago,IL,60606,1,"Public, 4-year or above",27884,23721,51605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163286001,University of Maryland-College Park,Main Campus,US Route 1,COLLEGE PARK,MD,20742,1,"Public, 4-year or above",21062,19681,40743,1,0,29,4,0,0,3,3,13,6,3,0,0,28,15,0,0,1,5,5,25,2,0,0,23,7,0,0,4,5,22,57,6,1,1,1
163286002,University of Maryland-College Park,The Universities at Shady Grove,9636 Gudelsky Drive,Rockville,MD,20850,1,"Public, 4-year or above",21062,19681,40743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
170976001,University of Michigan-Ann Arbor,Ann Arbor campus,503 Thompson St,ANN ARBOR,MI,48109,1,"Public, 4-year or above",24119,23971,48090,0,0,15,10,0,0,2,10,18,7,3,0,0,43,30,0,0,3,19,15,7,4,0,0,19,25,0,0,1,9,6,7,4,1,1,1
171100001,Michigan State University,Main Campus,"Hannah Administration Bldg., 426 Auditorium Road, Room 450",EAST LANSING,MI,488241042,1,"Public, 4-year or above",23927,25882,49809,0,0,26,14,0,0,1,14,94,30,0,0,0,43,16,0,0,2,23,48,47,0,0,0,29,82,0,0,0,9,63,35,0,1,1,1
171100002,Michigan State University,MSU College of Human Medicine -- Grand Rapids,15 Michigan Street NE,Grand Rapids,MI,49503,1,"Public, 4-year or above",23927,25882,49809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100003,Michigan State University,MSU Eli Broad Graduate School of Management -- Troy,811 West Square Lake Road,Troy,MI,48098,1,"Public, 4-year or above",23927,25882,49809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100005,Michigan State University,College of Osteopathic Medicine - Macomb,44575 Garfield Rd.,Clinton Township,MI,480381139,1,"Public, 4-year or above",23927,25882,49809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100006,Michigan State University,College of Osteopathic Medicine - Detroit,4707 St. Antoine,Detroit,MI,48201,1,"Public, 4-year or above",23927,25882,49809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
174066001,University of Minnesota-Twin Cities,Main Campus,100 CHURCH STREET SE,MINNEAPOLIS,MN,554550213,1,"Public, 4-year or above",23550,27777,51327,0,0,19,15,0,0,7,4,18,19,3,0,1,26,22,0,0,5,6,48,11,0,0,0,27,23,0,0,4,8,54,29,2,1,1,1
174066003,University of Minnesota-Twin Cities,Saint Paul,100 Church Street S.E.,Minneapolis,MN,55455,1,"Public, 4-year or above",23550,27777,51327,0,0,0,1,0,0,0,0,3,13,0,0,0,0,1,0,0,0,1,6,1,0,0,0,3,3,0,0,0,0,3,4,0,1,1,1
186380001,Rutgers University-New Brunswick,Main Campus,83 SOMERSET ST,NEW BRUNSWICK,NJ,089011281,1,"Public, 4-year or above",23366,26807,50173,0,0,30,8,0,0,2,4,15,1,3,0,0,15,6,0,0,1,3,8,2,1,0,0,25,12,0,0,3,12,31,0,0,1,1,1
186380003,Rutgers University-New Brunswick,Rutgers at Atlantic Cape Community,5100 Black Horse Pike,Mays Landing,NJ,08330,1,"Public, 4-year or above",23366,26807,50173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380004,Rutgers University-New Brunswick,Rutgers at Brookdale Community College,3680 Route 9 South,Freehold,NJ,07728,1,"Public, 4-year or above",23366,26807,50173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380005,Rutgers University-New Brunswick,Rutgers at Mercer County Community College,1200 Old Trenton Road FA 129,West Windsor,NJ,08550,1,"Public, 4-year or above",23366,26807,50173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
