UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD19,NEG_M19,RAPE19,FONDL19,INCES19,STATR19,ROBBE19,AGG_A19,BURGLA19,VEHIC19,ARSON19,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,FILTER19,FILTER20,FILTER21
145637001,University of Illinois Urbana-Champaign,00177500,Main Campus,601 E John Street,Champaign,IL,61820,1,"Public, 4-year or above",30978,25629,56607,0,0,19,9,0,2,2,6,16,2,5,0,0,15,5,0,0,5,2,9,4,5,0,0,10,12,0,0,2,3,4,3,3,1,1,1
145637003,University of Illinois Urbana-Champaign,00177500,Illini Center,200 S. Wacker Dr.,Chicago,IL,60606,1,"Public, 4-year or above",30978,25629,56607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163286001,University of Maryland-College Park,00210300,Main Campus,US Route 1,COLLEGE PARK,MD,20742,1,"Public, 4-year or above",20946,20326,41272,0,0,23,7,0,0,4,5,22,57,6,0,0,13,0,0,0,0,0,16,26,0,0,0,20,8,0,0,0,2,11,33,2,1,1,1
163286002,University of Maryland-College Park,00210300,The Universities at Shady Grove,9636 Gudelsky Drive,Rockville,MD,20850,1,"Public, 4-year or above",20946,20326,41272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
170976001,University of Michigan-Ann Arbor,00232500,Ann Arbor campus,503 Thompson St,ANN ARBOR,MI,48109,1,"Public, 4-year or above",24655,25623,50278,0,0,19,25,0,0,1,9,6,7,4,0,0,1212,947,0,0,3,5,11,8,1,0,0,199,176,0,0,2,18,5,4,2,1,1,1
171100001,Michigan State University,00229000,Main Campus,"Hannah Administration Bldg., 426 Auditorium Road, Room 450",EAST LANSING,MI,488241042,1,"Public, 4-year or above",23366,26293,49659,0,0,29,82,0,0,0,9,63,35,0,0,0,13,3,0,1,0,7,19,21,0,0,0,19,4,0,1,3,4,19,31,1,1,1,1
171100002,Michigan State University,00229000,MSU College of Human Medicine -- Grand Rapids,15 Michigan Street NE,Grand Rapids,MI,49503,1,"Public, 4-year or above",23366,26293,49659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
171100003,Michigan State University,00229000,MSU Eli Broad Graduate School of Management -- Troy,811 West Square Lake Road,Troy,MI,48098,1,"Public, 4-year or above",23366,26293,49659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100005,Michigan State University,00229000,College of Osteopathic Medicine - Macomb,44575 Garfield Rd.,Clinton Township,MI,480381139,1,"Public, 4-year or above",23366,26293,49659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
171100006,Michigan State University,00229000,College of Osteopathic Medicine - Detroit,4707 St. Antoine,Detroit,MI,48201,1,"Public, 4-year or above",23366,26293,49659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
174066001,University of Minnesota-Twin Cities,00396900,Main Campus,100 CHURCH STREET SE,MINNEAPOLIS,MN,554550213,1,"Public, 4-year or above",23418,28958,52376,0,0,27,23,0,0,4,8,54,29,2,0,0,20,12,0,0,2,6,21,25,4,0,0,40,10,1,0,4,3,24,30,3,1,1,1
174066003,University of Minnesota-Twin Cities,00396900,Saint Paul,100 Church Street S.E.,Minneapolis,MN,55455,1,"Public, 4-year or above",23418,28958,52376,0,0,3,3,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,1
186380001,Rutgers University-New Brunswick,00262900,Main Campus,83 SOMERSET ST,NEW BRUNSWICK,NJ,089011281,1,"Public, 4-year or above",23354,27450,50804,0,0,25,12,0,0,3,12,31,0,0,0,0,4,8,0,0,4,8,17,2,0,0,0,17,9,0,0,3,10,36,3,1,1,1,1
186380003,Rutgers University-New Brunswick,00262900,Rutgers at Atlantic Cape Community,5100 Black Horse Pike,Mays Landing,NJ,08330,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380004,Rutgers University-New Brunswick,00262900,Rutgers at Brookdale Community College,3680 Route 9 South,Freehold,NJ,07728,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380005,Rutgers University-New Brunswick,00262900,Rutgers at Mercer County Community College,1200 Old Trenton Road FA 129,West Windsor,NJ,08550,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380006,Rutgers University-New Brunswick,00262900,Rutgers at County College of Morris,214 Center Grove Road,Randolph,NJ,07869,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380007,Rutgers University-New Brunswick,00262900,Rutgers at Raritan Valley Community College,Rotue 28 & Lamington Road,North Branch,NJ,08876,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380008,Rutgers University-New Brunswick,00262900,Rutgers at Brookdale Community College Lincroft Campus,765 Newman Springs Road,Lincroft,NJ,07738,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380009,Rutgers University-New Brunswick,00262900,Rutgers Agricultural Research and Extension Center,121 Northville Road,Bridgeton,NJ,08302,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380010,Rutgers University-New Brunswick,00262900,Clifford E. & Melda C. Snyder Research and Extension Farm,140 Locust Grove Road,Pittstown,NJ,08867,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380011,Rutgers University-New Brunswick,00262900,Lindley G. Cook 4-H Youth Center for Outdoor Education,100 Struble Road,Branchville,NJ,07826,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380012,Rutgers University-New Brunswick,00262900,Haskin Shellfish Research Laboratory (HSRL),6959 Miller Avenue,Port Norris,NJ,08349,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380013,Rutgers University-New Brunswick,00262900,Philip E. Marucci Center for Blueberry & Cranberry Research,125 Lake Oswego,Chatsworth,NJ,08019,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380014,Rutgers University-New Brunswick,00262900,Rutgers University Pinelands Field Station,501 Four Mile Road,New Lisbon,NJ,08064,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380015,Rutgers University-New Brunswick,00262900,Rutgers University Marine Field Station (RUMFS),800 Great Bay Boulevard,Tuckerton,NJ,08087,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380016,Rutgers University-New Brunswick,00262900,Hutcheson Memorial Forest,2150 Amwell Road,Franklin,NJ,08873,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380017,Rutgers University-New Brunswick,00262900,Rutgers EcoComplex,1200 Florence Columbus Road,Bordentown,NJ,08901,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
186380018,Rutgers University-New Brunswick,00262900,Rutgers Fruit and Ornamental Research Extension Center,283 Route 539,Cream Ridge,NJ,085149634,1,"Public, 4-year or above",23354,27450,50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
